preview_frame_id,host_epoch_ns,host_monotonic_ns,video_source_epoch_ns,video_pipeline_latency_ms,telemetry_match_delta_ms,sync_offset_ms,decoded_frame_seq,dropped_frames,telemetry_session,telemetry_seq,telemetry_device_ms,tracking_frame_id
148,1785481818390127000,195089142412300,1785481818286956032,103.170968,-14.073732,0.0,148,0,000070ca,6598,212458,8394
149,1785481818445288000,195089197573300,1785481818336966912,108.321088,10.636788,0.0,149,0,000070ca,6600,212534,8397
150,1785481818489815300,195089242100500,1785481818387332864,102.482436,-16.038164,0.0,150,0,000070ca,6601,212559,8398
151,1785481818540032100,195089292317400,1785481818437900032,102.132068,3.307368,0.0,151,0,000070ca,6602,212619,8400
152,1785481818589930800,195089342216000,1785481818487688960,102.24184,-22.85456,0.0,152,0,000070ca,6603,212657,8401
153,1785481818639849800,195089392135100,1785481818537144064,102.705736,9.542736,0.0,153,0,000070ca,6605,212728,8404
154,1785481818690064300,195089442349600,1785481818587688960,102.37534,-16.00046,0.0,154,0,000070ca,6606,212759,8405
155,1785481818739472600,195089491757900,1785481818637588992,101.883608,8.365908,0.0,155,0,000070ca,6608,212826,8408
156,1785481818789660300,195089541945500,1785481818687732992,101.927308,-21.471492,0.0,156,0,000070ca,6609,212859,8409
157,1785481818839869400,195089592154700,1785481818737099776,102.769624,9.657024,0.0,157,0,000070ca,6611,212928,8412
158,1785481818890208300,195089642493600,1785481818787132928,103.075372,-14.036328,0.0,158,0,000070ca,6612,212959,8413
159,1785481818939473700,195089691758900,1785481818837378048,102.095652,-13.365348,0.0,159,0,000070ca,6614,213016,8415
160,1785481818989860700,195089742146000,1785481818887166976,102.693724,-8.762076,0.0,160,0,000070ca,6616,213067,8417
161,1785481819038963200,195089791248500,1785481818936978176,101.985024,-4.480576,0.0,161,0,000070ca,6618,213124,8419
162,1785481819089878000,195089842163200,1785481818987444992,102.433008,22.374808,0.0,162,0,000070ca,6620,213198,8422
163,1785481819140913400,195089893198500,1785481819037044992,103.868408,-5.607892,0.0,163,0,000070ca,6621,213220,8423
164,1785481819190104100,195089942389600,1785481819087500032,102.604068,23.386268,0.0,164,0,000070ca,6623,213298,8426
165,1785481819239703800,195089991989000,1785481819137232896,102.470904,2.606804,0.0,165,0,000070ca,6624,213326,8427
166,1785481819290531500,195090042816600,1785481819187532800,102.9987,23.4612,0.0,166,0,000070ca,6626,213398,8430
167,1785481819339626800,195090091912000,1785481819237210880,102.41592,-5.47988,0.0,167,0,000070ca,6627,213424,8431
168,1785481819389926000,195090142211300,1785481819287410944,102.515056,5.844456,0.0,168,0,000070ca,6629,213477,8433
169,1785481819439376000,195090191661200,1785481819337466880,101.90912,2.83572,0.0,169,0,000070ca,6630,213526,8435
170,1785481819489642700,195090241928000,1785481819387422208,102.220492,7.269292,0.0,170,0,000070ca,6632,213578,8437
171,1785481819539900500,195090292185800,1785481819437555968,102.344532,-17.082768,0.0,171,0,000070ca,6633,213610,8438
172,1785481819589290800,195090341576000,1785481819487399936,101.890864,8.462764,0.0,172,0,000070ca,6635,213683,8441
173,1785481819640317400,195090392602800,1785481819536977920,103.33948,-16.97632,0.0,173,0,000070ca,6636,213709,8442
174,1785481819689678600,195090441963900,1785481819587388928,102.289672,8.126072,0.0,174,0,000070ca,6638,213783,8445
175,1785481819740253900,195090492539200,1785481819637367040,102.88686,-21.50334,0.0,175,0,000070ca,6639,213808,8446
176,1785481819790811400,195090543096400,1785481819687511040,103.30036,2.82056,0.0,176,0,000070ca,6641,213877,8449
177,1785481819840730000,195090593015700,1785481819737622016,103.107984,5.024084,0.0,177,0,000070ca,6642,213927,8451
178,1785481819889347600,195090641632800,1785481819787555840,101.79176,7.57596,0.0,178,0,000070ca,6644,213983,8453
179,1785481819940875800,195090693161100,1785481819836932864,103.942936,-16.457764,0.0,179,0,000070ca,6645,214009,8454
180,1785481819989843800,195090742129200,1785481819887078144,102.765656,-8.004144,0.0,180,0,000070ca,6647,214059,8456
181,1785481820040090300,195090792375500,1785481819938155776,101.934524,5.007824,0.0,181,0,000070ca,6649,214127,8458
182,1785481820090024800,195090842310100,1785481819987233024,102.791776,18.128076,0.0,182,0,000070ca,6651,214182,8460
183,1785481820140534100,195090892819200,1785481820037367040,103.16706,-12.99824,0.0,183,0,000070ca,6652,214216,8461
184,1785481820190960600,195090943245800,1785481820087256064,103.704536,17.576936,0.0,184,0,000070ca,6654,214283,8464
185,1785481820239476100,195090991761400,1785481820137111040,102.36506,-12.70994,0.0,185,0,000070ca,6655,214316,8465
186,1785481820288855000,195091041139900,1785481820188432896,100.422104,16.080204,0.0,186,0,000070ca,6657,214383,8468
187,1785481820339483100,195091091768100,1785481820237032960,102.45014,-9.00906,0.0,187,0,000070ca,6658,214416,8469
188,1785481820390090100,195091142375400,1785481820287000064,103.090036,17.278436,0.0,188,0,000070ca,6660,214483,8472
189,1785481820439556900,195091191842200,1785481820336945152,102.611748,-9.224352,0.0,189,0,000070ca,6661,214516,8473
190,1785481820489926700,195091242212100,1785481820386899968,103.026732,1.489532,0.0,190,0,000070ca,6663,214568,8475
191,1785481820538672500,195091290957500,1785481820437378048,101.294452,-24.072348,0.0,191,0,000070ca,6664,214599,8476
192,1785481820588973500,195091341258500,1785481820487588864,101.384636,2.665436,0.0,192,0,000070ca,6666,214677,8479
193,1785481820639158900,195091391444200,1785481820537056000,102.1029,12.1893,0.0,193,0,000070ca,6668,214734,8481
194,1785481820690146000,195091442431200,1785481820587132928,103.013072,-10.163228,0.0,194,0,000070ca,6669,214764,8482
195,1785481820739401200,195091491686500,1785481820636899840,102.50136,-9.42944,0.0,195,0,000070ca,6670,214809,8484
